iter	Passed	Remaining
0	2	293
1	4	223
2	6	195
3	7	170
4	8	162
5	10	167
6	15	199
7	17	206
8	19	196
9	20	187
10	22	179
11	23	173
12	24	166
13	26	160
14	32	182
15	33	176
16	34	170
17	36	164
18	37	159
19	38	155
20	39	150
21	41	146
22	42	142
23	44	141
24	47	142
25	48	138
26	50	135
27	51	132
28	52	128
29	53	125
30	55	122
31	56	119
32	61	124
33	63	122
34	64	119
35	65	116
36	66	113
37	68	111
38	69	108
39	70	105
40	71	103
41	73	101
42	75	100
43	77	98
44	78	96
45	80	94
46	81	91
47	82	89
48	83	87
49	85	85
50	86	83
51	89	82
52	90	80
53	92	78
54	93	76
55	94	74
56	95	72
57	96	70
58	97	68
59	99	66
60	100	64
61	102	62
62	104	61
63	106	59
64	107	57
65	108	55
66	109	54
67	110	52
68	112	50
69	113	48
70	114	46
71	116	45
72	118	43
73	120	42
74	121	40
75	122	38
76	123	37
77	125	35
78	126	33
79	128	32
80	129	30
81	132	29
82	135	27
83	136	25
84	137	24
85	139	22
86	140	20
87	141	19
88	142	17
89	144	16
90	145	14
91	147	12
92	148	11
93	149	9
94	151	7
95	152	6
96	153	4
97	156	3
98	159	1
99	160	0
